raceA,raceB,budget,first_mode,winrateA,avg_aliveA,avg_aliveB,avg_remHpA,avg_remHpB,avg_turns,sims_run
Ertrian,Sentus,5000,B,0.2833333333333333,0.7166666666666667,2.9,535.0,2334.6666666666665,9.366666666666667,60
Ertrian,Sentus,5000,alternate,0.48333333333333334,1.5,2.066666666666667,850.0,1595.6666666666667,8.733333333333333,60
Ertrian,Virix,5000,A,0.6166666666666667,2.95,1.7666666666666666,1458.3333333333333,1052.1666666666667,14.25,60
Ertrian,Virix,5000,B,0.2833333333333333,0.8833333333333333,3.283333333333333,583.3333333333334,1791.6666666666667,11.1,60
Ertrian,Virix,5000,alternate,0.4166666666666667,1.7166666666666666,1.9666666666666666,911.6666666666666,1173.0,14.8,60
Sentus,Ertrian,5000,A,0.7666666666666667,3.1,0.45,2419.8333333333335,295.8333333333333,9.233333333333333,60
Sentus,Ertrian,5000,B,0.35,1.1666666666666667,2.033333333333333,992.6666666666666,1285.0,8.65,60
Sentus,Ertrian,5000,alternate,0.5833333333333334,2.4166666666666665,1.2833333333333334,1689.8333333333333,705.0,8.833333333333334,60
Sentus,Virix,5000,A,0.5333333333333333,2.55,2.3,1775.0,1166.6666666666667,16.316666666666666,60
Sentus,Virix,5000,B,0.5,2.0166666666666666,2.8666666666666667,1435.0,1400.0,17.333333333333332,60
Sentus,Virix,5000,alternate,0.5,2.1333333333333333,2.066666666666667,1536.6666666666667,1020.0,17.816666666666666,60
Virix,Ertrian,5000,A,0.5833333333333334,2.35,1.7666666666666666,1310.1666666666667,856.6666666666666,14.666666666666666,60
Virix,Ertrian,5000,B,0.4,1.5166666666666666,2.3666666666666667,870.3333333333334,1170.0,16.483333333333334,60
Virix,Ertrian,5000,alternate,0.45,2.2666666666666666,2.3833333333333333,1158.1666666666667,1233.3333333333333,15.433333333333334,60
Virix,Sentus,5000,A,0.5083333333333333,2.4166666666666665,2.0,1113.3333333333333,1520.0,15.4,60
Virix,Sentus,5000,B,0.6,2.3333333333333335,1.9333333333333333,1145.0,1390.0,17.183333333333334,60
Virix,Sentus,5000,alternate,0.6333333333333333,2.316666666666667,1.5,1451.6666666666667,1126.6666666666667,13.783333333333333,60
Ertrian,Sentus,7000,A,0.7,2.8,1.5666666666666667,1858.3333333333333,1221.0,10.066666666666666,60
Ertrian,Sentus,7000,B,0.26666666666666666,0.5666666666666667,3.95,409.1666666666667,3136.1666666666665,8.966666666666667,60
Ertrian,Sentus,7000,alternate,0.55,1.7833333333333334,2.55,1209.1666666666667,2019.8333333333333,8.716666666666667,60
Ertrian,Virix,7000,A,0.55,3.05,2.15,1586.6666666666667,1306.3333333333333,16.183333333333334,60
Ertrian,Virix,7000,B,0.4,2.75,3.683333333333333,1271.6666666666667,2115.8333333333335,16.366666666666667,60
Ertrian,Virix,7000,alternate,0.45,2.533333333333333,2.466666666666667,1271.6666666666667,1581.6666666666667,15.666666666666666,60
Sentus,Ertrian,7000,A,0.75,4.016666666666667,0.7333333333333333,3361.3333333333335,505.0,10.166666666666666,60
Sentus,Ertrian,7000,B,0.36666666666666664,1.8666666666666667,2.683333333333333,1476.0,1612.5,12.083333333333334,60
Sentus,Ertrian,7000,alternate,0.5333333333333333,2.5166666666666666,1.95,2028.1666666666667,1157.5,9.716666666666667,60
Sentus,Virix,7000,A,0.4166666666666667,2.4166666666666665,3.1333333333333333,1871.6666666666667,1620.8333333333333,17.966666666666665,60
Sentus,Virix,7000,B,0.5166666666666667,2.533333333333333,3.0833333333333335,2076.6666666666665,1418.3333333333333,17.283333333333335,60
Sentus,Virix,7000,alternate,0.4,2.5166666666666666,3.75,2010.0,2045.8333333333333,20.183333333333334,60
Virix,Ertrian,7000,A,0.7166666666666667,4.366666666666666,1.8666666666666667,2387.1666666666665,933.3333333333334,14.566666666666666,60
Virix,Ertrian,7000,B,0.3333333333333333,1.8,4.2,1155.6666666666667,1938.3333333333333,18.25,60
Virix,Ertrian,7000,alternate,0.5666666666666667,3.1166666666666667,2.55,1871.1666666666667,1356.6666666666667,17.666666666666668,60
Virix,Sentus,7000,A,0.6,4.1,2.283333333333333,2000.0,1791.6666666666667,18.133333333333333,60
Virix,Sentus,7000,B,0.5,3.1,3.15,1475.0,2420.0,23.383333333333333,60
Virix,Sentus,7000,alternate,0.6666666666666666,3.1333333333333333,1.7833333333333334,1906.6666666666667,1345.0,17.216666666666665,60
Ertrian,Sentus,10000,A,0.6666666666666666,3.816666666666667,2.066666666666667,2452.5,1876.5,11.666666666666666,60
Ertrian,Sentus,10000,B,0.18333333333333332,0.7833333333333333,6.716666666666667,479.1666666666667,5309.333333333333,12.183333333333334,60
Ertrian,Sentus,10000,alternate,0.48333333333333334,2.316666666666667,3.8,1525.0,3213.6666666666665,9.15,60
Ertrian,Virix,10000,A,0.48333333333333334,4.1,2.8,2136.6666666666665,1872.8333333333333,18.216666666666665,60
Ertrian,Virix,10000,B,0.48333333333333334,3.75,3.35,1861.6666666666667,1893.8333333333333,19.7,60
Ertrian,Virix,10000,alternate,0.45,3.9833333333333334,4.05,2008.3333333333333,2282.1666666666665,20.116666666666667,60
Sentus,Ertrian,10000,A,0.75,5.483333333333333,0.8333333333333334,4568.666666666667,560.8333333333334,10.466666666666667,60
Sentus,Ertrian,10000,B,0.4166666666666667,2.5833333333333335,3.1166666666666667,2274.3333333333335,2293.3333333333335,12.75,60
Sentus,Ertrian,10000,alternate,0.5,4.133333333333334,2.4833333333333334,3461.0,1410.0,14.3,60
Sentus,Virix,10000,A,0.5166666666666667,3.95,4.0,3190.0,1970.8333333333333,24.383333333333333,60
Sentus,Virix,10000,B,0.4166666666666667,3.2,4.016666666666667,2596.6666666666665,2370.0,19.3,60
Sentus,Virix,10000,alternate,0.38333333333333336,3.5,4.566666666666666,2823.3333333333335,2565.8333333333335,19.983333333333334,60
Virix,Ertrian,10000,A,0.5833333333333334,4.416666666666667,3.216666666666667,2545.6666666666665,1736.6666666666667,19.35,60
